product_name,product_type,clean_ingreds,price,product_url,water_index,water_word
Balance Me Radiance Face Oil 30ml,Oil,"['prunus amygdalus dulcis', 'vitis vinifera extract', 'aleurites moluccanus seed oil', 'simmondsia chinensis leaf extract', 'rosa canina flower oil', 'mauritia flexuosa (buriti) nut oil', 'moringa oleifera seed oil', 'camellia oleifera seed oil', 'tocopherol', 'anthemis nobilis flower water', 'achillea millefolium extract', 'styrax benzoin', 'limonene', 'linalool', 'geraniol', 'citronellol']",£24.00,https://www.lookfantastic.com/balance-me-radiance-face-oil-30ml/11419254.html,10, 'anthemis nobilis flower water'
Peter Thomas Roth Oiless Oil 100% Purified Squalane,Oil,['squalene'],£32.00,https://www.lookfantastic.com/peter-thomas-roth-oiless-oil-100-purified-squalane/10831388.html,,
Moroccanoil Shimmering Body Oil 50ml,Oil,"['capric triglyceride', 'sesamium indicum seed oil', 'argania spinosa extract', 'parfum', 'trihydroxystearin', 'ci 77019', 'ci 77491', 'alpha-isomethyl ionone', 'butylphenyl methylpropional', 'linalool', 'eugenol', 'hydroxyisohexyl 3-cyclohexene']",£37.00,https://www.lookfantastic.com/moroccanoil-shimmering-body-oil/11220665.html,,
Natio Ageless Rosehip Oil Cold Pressed 15ml,Oil,"['rosa canina flower oil', 'pelargonium graveolens extract', 'rosmarinus officinalis extract']",£13.60,https://www.lookfantastic.com/natio-ageless-rosehip-oil-cold-pressed-15ml/10562420.html,,
Weleda Almond Soothing Facial Oil (50ml),Oil,"['prunus amygdalus dulcis', 'prunus domestica flower extract', 'prunus spinosa flower extract']",£18.95,https://www.lookfantastic.com/weleda-almond-soothing-facial-oil-50ml/10540623.html,,
DHC Olive Virgin Oil (30ml),Oil,['olea europaea fruit oil'],£36.50,https://www.lookfantastic.com/dhc-olive-virgin-oil-30ml/11207559.html,,
Lanolips 101 Ointment Multi-Balm - Peach 10g,Balm,['lanolin'],£8.99,https://www.lookfantastic.com/lanolips-101-ointment-multi-balm-peach-10g/11323340.html,,
Balance Me Cleanse and Smooth Face Balm 125ml,Balm,"['prunus amygdalus dulcis', 'cera alba', 'avena sativa kernel extract', 'butyrospermum parkii', 'mangifera indica extract', 'polyglyceryl-3 dicitrate/stearate', 'hydroxystearic/linolenic/oleic polyglycerides', 'theobroma cacao extract', 'rosa canina flower oil', 'camellia oleifera seed oil', 'aleurites moluccanus seed oil', 'cocos nucifera fruit extract', 'rubus chamaemorus extract', 'vitis vinifera extract', 'citrus nobilis oil', 'anthemis nobilis flower water', 'citrus aurantium amara flower water', 'litsea cubeba fruit extract', 'coriandrum sativum extract', 'cananga odorata flower oil', 'helianthus annuus seed oil', 'rosmarinus officinalis extract', 'tocopherol', 'limonene', 'linalool', 'citral', 'geraniol']",£16.00,https://www.lookfantastic.com/balance-me-cleanse-and-smooth-face-balm-125ml/11419252.html,16, 'anthemis nobilis flower water'
Dr Hauschka Lip Balm 4.5ml,Balm,"['castor oil', 'cera alba', 'arachis hypogaea (peanut) oil', 'daucus carota sativa extract', 'anthyllis vulneraria extract', 'prunus armeniaca fruit extract', 'calendula officinalis extract', 'helianthus annuus seed oil', 'theobroma cacao extract', 'hypericum perforatum flower extract', 'silk (serica) powder', 'triticum vulgare bran extract', 'simmondsia chinensis leaf extract', 'triticum vulgare bran extract', 'lecithin', 'parfum', 'citronellol', 'geraniol', 'linalool', 'farnesol', 'benzyl benzoate', 'citral', 'eugenol', 'benzyl alcohol', 'benzyl salicylate']",£10.50,https://www.lookfantastic.com/dr-hauschka-lip-balm-4.5ml/10964000.html,,
yes to Cucumbers Exfoliating Cleansing Balm 120g,Balm,"['prunus amygdalus dulcis', 'capric triglyceride', 'cera alba', 'castor oil', 'castor oil', 'copernicia cerifera wax', 'castor oil', 'polyglyceryl-3 palmitate', 'polyglyceryl-2 coco-caprylate', 'castor oil', 'lactose', 'cellulose', 'chromium hydroxide green', 'tocopheryl acetate', 'hydroxypropyl methylcellulose', 'cocos nucifera fruit extract', 'silica dimethyl silylate', 'cucumis sativus extract', 'simmondsia chinensis leaf extract', 'sesamium indicum seed oil', 'phenoxyethanol', 'parfum']",£9.99,https://www.lookfantastic.com/yes-to-cucumbers-exfoliating-cleansing-balm-120g/11664384.html,,
BeautyPro Brightening Collagen Sheet Mask with Vitamin C,Mask,"['marine collagen', 'vitamin-c', 'aloe barbadenis extract', 'extracts of bearberry', 'licorice root', 'portulaca flower', 'sophora angustifolia natural plant extract', 'chamomile', 'boswellia serrata plant extract', 'pomegranate', 'hamamelis virginiana']",£4.95,https://www.lookfantastic.com/beautypro-brightening-collagen-sheet-mask-with-vitamin-c/11432733.html,,
BeautyPro Detoxifying Foaming Cleansing Sheet Mask with Activated Charcoal,Mask,"['charcoal powder', 'extracts of lime', 'lemon', 'apple', 'citrus grandis', 'ginseng root', 'chamomile', 'pomegranate', 'hamamelis virginiana', 'solanum lycopersicum', 'lavender', 'melaleuca alternifolia leaf extract']",£4.95,https://www.lookfantastic.com/beautypro-detoxifying-foaming-cleansing-sheet-mask-with-activated-charcoal/11432736.html,,
BeautyPro CBD Oil Infused Sheet Mask 22ml,Mask,"['cannabis sativa extract', 'pentylene glycol', 'arnica montana extract', 'glycerin', 'hibiscus esculentus fruit extract', 'dioscorea opposita root extract', 'linum usitatissimum flower extract', 'salvia hispanica herb extract', 'cannabis sativa extract', 'lavandula angustifolia', 'rosmarinus officinalis extract', 'chamomilla recutita flower oil', 'rosa canina flower oil']",£5.95,https://www.lookfantastic.com/beautypro-cbd-oil-infused-sheet-mask-22ml/12371988.html,,
Dermalogica Total Eye Care 15ml,Eye Care,"['titanium dioxide', 'citrus aurantium amara flower water', 'c12-15', 'alkyl octanoate', 'lactic acid', 'butylene glycol', 'glycerin', 'silica', 'glyceryl stearate', 'peg-100 stearate', 'cetearyl alcohol', 'ceteareth 20', 'cyclomethicone', 'dea-cetyl phosphate', 'magnesium aluminum silicate', 'spirea ulmaria (meadowsweet) flower extract', 'hydrocotyl (centella asiatica) extract', 'tocopheryl acetate', 'bisabolol', 'allantoin', 'leucine', 'valine', 'tyrosine', 'argnine', 'lysine', 'sodium pca', 'xanthan gum', 'propylene glycol', 'disodium edta', 'diazolidinyl', 'urea', 'isopropylparaben', 'isobutylparaben', 'butylparaben', 'magnesium silicate', 'ci 77492', 'ci 77491', 'ci 77019']",£40.50,https://www.lookfantastic.com/dermalogica-total-eye-care-15ml/10363958.html,2, 'citrus aurantium amara flower water'
Caudalie Supersize Grape Water (200ml),Toner,"['vitis vinifera extract', 'vitis vinifera extract', 'nitrogen']",£11.00,https://www.lookfantastic.com/caudalie-supersize-grape-water-200ml/10306437.html,,
Caudalie Grape Water 75ml,Toner,"['vitis vinifera extract', 'vitis vinifera extract', 'nitrogen']",£6.00,https://www.lookfantastic.com/caudalie-grape-water-75ml/10623029.html,,
