date_updated,category_id,category_name,product_id,product_url,meta_title,title_content,meta_img,img_content
2021-11-04 06:55:29.629517,9,Moisturizer,101,https://www.lookfantastic.com/sukin-sensitive-facial-moisturiser-125ml/10961577.html,"<meta content=""Sukin Sensitive Facial Moisturiser (125ml)"" property=""og:title""/>",Sukin Sensitive Facial Moisturiser (125ml),"<meta content=""https://static.thcdn.com/images/small/original//productimg/960/960/10961577-1064864242656253.jpg"" crossorigin="""" loading=""lazy"" property=""og:image""/>",https://static.thcdn.com/images/small/original//productimg/960/960/10961577-1064864242656253.jpg
2021-11-04 06:55:32.392158,9,Moisturizer,102,https://www.lookfantastic.com/fade-out-advanced-even-skin-tone-day-cream-spf-25-50ml/11284054.html,"<meta content=""Fade Out Advanced Brightening Day Cream SPF20 50ml"" property=""og:title""/>",Fade Out Advanced Brightening Day Cream SPF20 50ml,"<meta content=""https://static.thcdn.com/images/small/original//productimg/960/960/11284054-8504902150201366.jpg"" crossorigin="""" loading=""lazy"" property=""og:image""/>",https://static.thcdn.com/images/small/original//productimg/960/960/11284054-8504902150201366.jpg
2021-11-04 06:55:35.770131,9,Moisturizer,103,https://www.lookfantastic.com/avene-rich-revitalizing-nourishing-cream-50ml/12312816.html,"<meta content=""Avène Les Essentiels Rich Revitalizing Nourishing Cream Moisturiser for Dry, Sensitive Skin 50ml"" property=""og:title""/>","Avène Les Essentiels Rich Revitalizing Nourishing Cream Moisturiser for Dry, Sensitive Skin 50ml","<meta content=""https://static.thcdn.com/images/small/original//productimg/960/960/12312816-1614872049820250.jpg"" crossorigin="""" loading=""lazy"" property=""og:image""/>",https://static.thcdn.com/images/small/original//productimg/960/960/12312816-1614872049820250.jpg
2021-11-04 06:56:30.092253,9,Moisturizer,104,https://www.lookfantastic.com/fade-out-advanced-age-protection-even-skin-tone-day-cream-spf-25-50ml/11490811.html,"<meta content=""Fade Out Anti-Wrinkle Brightening Day Cream SPF25 50ml"" property=""og:title""/>",Fade Out Anti-Wrinkle Brightening Day Cream SPF25 50ml,"<meta content=""https://static.thcdn.com/images/small/original//productimg/960/960/11490811-1234902151317681.jpg"" crossorigin="""" loading=""lazy"" property=""og:image""/>",https://static.thcdn.com/images/small/original//productimg/960/960/11490811-1234902151317681.jpg
2021-11-04 06:56:33.594158,1,Cleanser,567,https://www.lookfantastic.com/lancome-gel-eclat-express-clarfying-self-foaming-cleanser-125ml/11077873.html,"<meta content=""Lancôme Gel Eclat Express Clarfying Self-Foaming Cleanser 125ml"" property=""og:title""/>",Lancôme Gel Eclat Express Clarfying Self-Foaming Cleanser 125ml,"<meta content=""https://static.thcdn.com/images/small/original/productimg/960/960/11077873-1284486404449391.jpg"" crossorigin="""" loading=""lazy"" property=""og:image""/>",https://static.thcdn.com/images/small/original/productimg/960/960/11077873-1284486404449391.jpg
2021-11-04 06:56:36.642462,1,Cleanser,568,https://www.lookfantastic.com/bulldog-energising-face-wash-150ml/12037194.html,"<meta content=""Bulldog Energising Face Wash 150ml"" property=""og:title""/>",Bulldog Energising Face Wash 150ml,"<meta content=""https://static.thcdn.com/images/small/original/productimg/960/960/12037194-9714649937932172.jpg"" crossorigin="""" loading=""lazy"" property=""og:image""/>",https://static.thcdn.com/images/small/original/productimg/960/960/12037194-9714649937932172.jpg
2021-11-04 06:57:29.236201,1,Cleanser,569,https://www.lookfantastic.com/l-oreal-paris-fine-flowers-cleansing-cream-200ml/11740149.html,"<meta content=""L'Oréal Paris Fine Flowers Cleansing Cream 200ml"" property=""og:title""/>",L'Oréal Paris Fine Flowers Cleansing Cream 200ml,"<meta content=""https://static.thcdn.com/images/small/original/productimg/960/960/11740149-1714593916700898.jpg"" crossorigin="""" loading=""lazy"" property=""og:image""/>",https://static.thcdn.com/images/small/original/productimg/960/960/11740149-1714593916700898.jpg
2021-11-04 06:57:32.031449,1,Cleanser,570,https://www.lookfantastic.com/antipodes-hallelujah-lime-patchouli-cleanser-200ml/10366146.html,"<meta content=""Antipodes Hallelujah Lime and Patchouli Hydrating Cleanser and Makeup Remover 200ml"" property=""og:title""/>",Antipodes Hallelujah Lime and Patchouli Hydrating Cleanser and Makeup Remover 200ml,"<meta content=""https://static.thcdn.com/images/small/original//productimg/960/960/10366146-3684885812774774.jpg"" crossorigin="""" loading=""lazy"" property=""og:image""/>",https://static.thcdn.com/images/small/original//productimg/960/960/10366146-3684885812774774.jpg
2021-11-04 06:57:35.490849,1,Cleanser,571,https://www.lookfantastic.com/filorga-foam-cleanser-150ml/11395479.html,"<meta content=""Filorga Foam Cleanser 150ml"" property=""og:title""/>",Filorga Foam Cleanser 150ml,"<meta content=""https://static.thcdn.com/images/small/original/productimg/960/960/11395479-5684452659025513.jpg"" crossorigin="""" loading=""lazy"" property=""og:image""/>",https://static.thcdn.com/images/small/original/productimg/960/960/11395479-5684452659025513.jpg
2021-11-04 06:58:29.312842,1,Cleanser,572,https://www.lookfantastic.com/estee-lauder-nutritious-super-pomegranate-radiant-energy-2-in-1-cleansing-foam-125ml/11856774.html,"<meta content=""Estée Lauder Nutritious Super-Pomegranate Radiant Energy 2-In-1 Cleansing Foam 125ml"" property=""og:title""/>",Estée Lauder Nutritious Super-Pomegranate Radiant Energy 2-In-1 Cleansing Foam 125ml,"<meta content=""https://static.thcdn.com/images/small/original//productimg/960/960/11856774-8964871984178876.jpg"" crossorigin="""" loading=""lazy"" property=""og:image""/>",https://static.thcdn.com/images/small/original//productimg/960/960/11856774-8964871984178876.jpg
2021-11-04 06:58:32.015538,1,Cleanser,573,https://www.lookfantastic.com/garnier-micellar-water-oil-infused-facial-cleanser-and-makeup-remover-400ml/11299916.html,"<meta content=""Garnier Micellar Water Oil Infused Facial Cleanser and Makeup Remover 400ml"" property=""og:title""/>",Garnier Micellar Water Oil Infused Facial Cleanser and Makeup Remover 400ml,"<meta content=""https://static.thcdn.com/images/small/original//productimg/960/960/11299916-6674773298999443.jpg"" crossorigin="""" loading=""lazy"" property=""og:image""/>",https://static.thcdn.com/images/small/original//productimg/960/960/11299916-6674773298999443.jpg
2021-11-04 06:58:35.231452,1,Cleanser,574,https://www.lookfantastic.com/omorovicza-cleansing-foam-duo/11836821.html,"<meta content=""Omorovicza Cleansing Foam Duo (Worth £110.00)"" property=""og:title""/>",Omorovicza Cleansing Foam Duo (Worth £110.00),"<meta content=""https://static.thcdn.com/images/small/original/productimg/960/960/11836821-2614598126084850.jpg"" crossorigin="""" loading=""lazy"" property=""og:image""/>",https://static.thcdn.com/images/small/original/productimg/960/960/11836821-2614598126084850.jpg
